region,country,topic,name,url,language,source_type,perspective,channel,platform,is_dataset,accuracy,uniqueness,timeliness,transparency,verifiability,accessibility,depth,composite,notes
Eurasia,Russia,General,Novaya Gazeta Europe,https://novayagazeta.eu,RU/EN,Independent news outlet,Independent (exile),Website,,no,5,3,5,4,4,5,3,4.1,Riga-based continuation of Novaya Gazeta after its 2022 suspension; broad news and investigations.
Eurasia,Russia,General,Novaya Gazeta,https://novayagazeta.ru,RU,Independent newspaper,Independent,Website,,no,5,3,3,4,4,4,3,3.7,"Storied Moscow paper (Nobel 2021); print suspended in RU 2022, limited online presence remains."
Eurasia,Russia,General,TV Rain (Dozhd),https://tvrain.tv,RU,Independent TV / news,Independent (exile),Website,,no,4,3,5,4,3,4,3,3.7,Independent broadcaster relocated to the Netherlands; live news and talk. Undesirable org in RU.
Eurasia,Russia,General,The Moscow Times,https://www.themoscowtimes.com,EN/RU,Independent news outlet,Independent (exile),Website,,no,5,3,5,4,4,5,3,4.1,"English/Russian daily, Amsterdam-based; accessible entry point for non-Russian readers."
Eurasia,Russia,General,Holod,https://holod.media,RU,Long-form / features,Independent (exile),Website,,no,4,4,4,4,4,4,4,4.0,"Narrative long-reads on society, war, and human stories. Foreign-agent listed."
Eurasia,Russia,General,Verstka,https://verstka.media,RU,Investigative features,Independent (exile),Website,,no,5,5,4,4,5,4,4,4.4,"Post-2022 investigative outlet; scoops on mobilization, repression, and the war economy."
Eurasia,Russia,General,Republic,https://republic.ru,RU,Analysis / subscription,Independent,Website,,no,4,3,4,4,3,3,4,3.6,Subscription analytical daily on politics and economics.
Eurasia,Russia,General,Agentstvo,https://www.agents.media,RU,Investigative / news monitor,Independent (exile),Website,,no,5,4,5,4,4,4,3,4.1,Fast investigative news project by former Proekt and iStories journalists.
Eurasia,Russia,General,Bumaga,https://paperpaper.ru,RU,City media (St. Petersburg),Independent,Website,,no,4,4,4,4,4,4,3,3.9,"St. Petersburg city outlet; local politics, culture, and social issues."
Eurasia,Russia,General,DOXA,https://doxa.team,RU,Student / youth media,Independent (exile),Website,,no,4,4,3,4,4,4,3,3.7,"Youth-focused outlet on universities, protest, and repression; several editors prosecuted."
Eurasia,Russia,General,7x7 Horizontal Russia,https://7x7-journal.ru,RU,Regional civic media,Independent,Website,,no,4,5,3,4,4,3,3,3.7,Regional 'horizontal' journalism giving voice to local activists across Russia's provinces.
Eurasia,Russia,General,SOTAvision,https://sotavision.media,RU,Protest / repression live media,Independent,Website,,no,3,4,5,3,3,4,2,3.4,"Live coverage of protests, trials, and repression; fast but variable editing."
Eurasia,Russia,General,Grani.ru,https://graniru.org,RU,Opposition news,Independent,Website,,no,3,3,4,3,3,3,3,3.1,"Veteran opposition news site, blocked in RU since 2014."
Eurasia,Russia,General,BBC News Russian,https://www.bbc.com/russian,RU,Foreign public broadcaster,Independent (external),Website,,no,5,3,5,5,4,5,3,4.3,BBC's Russian service; co-produces the verified Russian casualty count with Mediazona.
Eurasia,Russia,General,Radio Svoboda (RFE/RL),https://www.svoboda.org,RU,US-funded broadcaster,Independent (external),Website,,no,4,3,5,4,4,4,3,3.9,"RFE/RL Russian Service; broad news, blocked and 'undesirable' in RU."
Eurasia,Russia,General,Current Time TV,https://www.currenttime.tv,RU,US-funded TV / digital,Independent (external),Website,,no,4,3,5,4,4,4,3,3.9,RFE/RL + VOA Russian-language TV and digital network.
Eurasia,Russia,General,Vot Tak (Belsat),https://vot-tak.tv,RU,Exile broadcaster (Poland),Independent (exile),Website,,no,4,3,4,4,4,4,3,3.7,Poland-based Russian-language outlet from the Belsat family.
Eurasia,Russia,General,Cherta,https://cherta.media,RU,Social-issues media,Independent (exile),Website,,no,4,4,3,4,4,4,4,3.9,"Explanatory journalism on violence, inequality, and social problems."
Eurasia,Russia,General,Caucasian Knot,https://www.eng.kavkaz-uzel.eu,RU/EN,Regional news / human rights,Independent,Website,,no,5,5,4,4,5,4,3,4.3,Encyclopedic North/South Caucasus coverage founded by Memorial; tracks regional violence.
Eurasia,Russia,General,OC Media,https://oc-media.org,EN,Regional independent (Caucasus),Independent,Website,,no,4,5,4,5,4,5,3,4.3,English-language North and South Caucasus reporting.
Eurasia,Russia,General,People of Baikal,https://baikal-journal.ru,RU,Regional long-form (Siberia),Independent,Website,,no,4,5,3,4,4,3,4,3.9,Long reads and photo stories from Irkutsk and the Baikal region.
Eurasia,Russia,General,Novaya Vkladka (The New Tab),https://en.thenewtab.io,RU/EN,Provincial-Russia features,Independent (exile),Website,,no,4,5,3,4,4,4,4,4.0,Deeply reported stories from provincial Russia often invisible from outside.
Eurasia,Russia,General,Sever.Realii (RFE/RL),https://www.severreal.org,RU,Regional service (Northern Russia),Independent (external),Website,,no,4,5,4,4,4,4,3,4.0,RFE/RL unit covering northern Russia.
Eurasia,Russia,General,Sibir.Realii (RFE/RL),https://www.sibreal.org,RU,Regional service (Siberia),Independent (external),Website,,no,4,5,4,4,4,4,3,4.0,RFE/RL unit covering Siberia.
Eurasia,Russia,General,Idel.Realii (RFE/RL),https://www.idelreal.org,RU,Regional service (Volga/Tatar-Bashkir),Independent (external),Website,,no,4,5,4,4,4,4,3,4.0,RFE/RL unit on the Volga–Ural region and its national republics.
Eurasia,Russia,General,Kavkaz.Realii (RFE/RL),https://www.kavkazr.com,RU,Regional service (North Caucasus),Independent (external),Website,,no,4,5,4,4,4,4,3,4.0,RFE/RL North Caucasus service.
Eurasia,Russia,Security,Institute for the Study of War (ISW),https://www.understandingwar.org,EN,War think tank (daily assessments),Independent (external),Website,,no,4,4,5,5,4,5,5,4.6,Daily Russian-offensive campaign assessments and an interactive control-of-terrain map.
Eurasia,Russia,Security,Jamestown Foundation,https://jamestown.org,EN,Eurasia think tank,Independent (external),Website,,no,4,4,3,5,4,5,5,4.3,Eurasia Daily Monitor; long-running analysis of Russian military and security affairs.
Eurasia,Russia,Security,CEPA,https://cepa.org,EN,Policy think tank,Independent (external),Website,,no,4,3,3,5,4,5,5,4.1,Center for European Policy Analysis; Russia/Ukraine security and disinformation work.
Eurasia,Russia,Security,RUSI,https://www.rusi.org,EN,Defence think tank,Independent (external),Website,,no,5,4,3,5,4,4,5,4.3,"UK defence institute; rigorous work on Russian forces, lessons of the war, and sanctions."
Eurasia,Russia,Security,WarTranslated,https://wartranslated.com,EN,Translation / monitoring,Independent,Website,,no,4,4,5,4,4,4,2,3.9,Dmitri's project translating Russian- and Ukrainian-language war material into English.
Eurasia,Russia,Security,WarGonzo,https://t.me/s/wargonzo,RU,Milblogger (Semyon Pegov),Pro-war / state-aligned,Social media,Telegram,no,3,4,5,2,2,3,3,3.1,"Front-embedded pro-war blogger, ~1M+ followers. Adversary framing; verify all claims."
Eurasia,Russia,Security,Colonel Cassad,https://t.me/s/boris_rozhin,RU,Milblogger (Boris Rozhin),Pro-war / state-aligned,Social media,Telegram,no,3,4,5,2,2,3,3,3.1,Long-running pro-war channel close to MoD line; detailed but propagandistic.
Eurasia,Russia,Security,Yuri Podolyaka,https://t.me/s/yurasumy,RU,Milblogger (individual),Pro-war / state-aligned,Social media,Telegram,no,3,3,5,2,2,3,2,2.9,"Pro-Russian Ukrainian-born blogger, ~2.8M subscribers; daily front summaries with a slant."
Eurasia,Russia,Security,Two Majors,https://t.me/s/dva_majors,RU,Milblogger (anonymous),Pro-war / state-aligned,Social media,Telegram,no,3,3,5,1,2,3,2,2.7,Anonymous pro-war channel; frontline claims and fundraising. Treat as sourced propaganda.
Eurasia,Russia,Security,Readovka,https://readovka.news,RU,Pro-Kremlin news agency,Pro-war / state-aligned,Website,,no,3,3,5,2,2,4,2,3.0,High-traffic pro-Kremlin news brand; useful as a barometer of the pro-war narrative.
Eurasia,Russia,Security,CAST (Moscow Defense Brief),https://www.cast.ru,RU/EN,Defence-industry think tank,State-aligned,Website,,no,4,4,3,3,4,4,4,3.7,Centre for Analysis of Strategies and Technologies; arms trade and defence-industry expertise.
Eurasia,Russia,Security,Lostarmour,https://lostarmour.info,RU,Loss tracker (pro-RU),Pro-war / state-aligned,Website,,yes,3,4,4,2,4,3,2,3.1,Pro-Russian visually-confirmed loss database; a counterweight/undercount comparison to Oryx.
Eurasia,Russia,Security,Ministry of Defence (Russia),https://mil.ru,RU,Official (MoD),State / official,Website,,no,2,3,4,2,2,3,1,2.4,Official MoD communiques and briefings; primary source for the Russian government's claims.
Eurasia,Russia,Economic,RBC,https://www.rbc.ru,RU,Business news,Establishment,Website,,no,4,3,5,3,4,4,3,3.7,Major business-news holding; still substantive on economy though under ownership pressure.
Eurasia,Russia,Economic,Kommersant,https://www.kommersant.ru,RU,Business daily,Establishment,Website,,no,4,3,4,3,4,4,3,3.6,"Establishment business daily; well-sourced on corporate and policy news, owned by Usmanov."
Eurasia,Russia,Economic,Vedomosti,https://www.vedomosti.ru,RU,Business daily,Establishment,Website,,no,3,3,4,3,3,4,3,3.3,Business daily; editorial line shifted pro-Kremlin after the 2020 ownership change.
Eurasia,Russia,Economic,Interfax,https://www.interfax.ru,RU,News agency,Establishment,Website,,no,4,3,5,3,4,4,2,3.6,"Wire agency; fast corporate, financial, and official news."
Eurasia,Russia,Economic,Ministry of Finance (Minfin),https://minfin.gov.ru,RU,Official (budget/fiscal data),State / official,Website,,yes,4,3,4,3,4,3,1,3.1,"Primary source for the federal budget, debt, and NWF fund data."
Eurasia,Russia,Economic,Moscow Exchange (MOEX),https://www.moex.com/en,RU/EN,Exchange market data,Establishment,Website,,yes,4,3,5,4,5,4,1,3.7,"Equities, bonds, FX, and derivatives market data and indices."
Eurasia,Russia,Economic,Federal Customs Service,https://customs.gov.ru,RU,Official trade statistics,State / official,Website,,yes,3,4,3,2,4,3,1,2.9,Foreign-trade statistics; publication was restricted/partial after 2022.
Eurasia,Russia,Economic,Federal Tax Service (FNS),https://www.nalog.gov.ru,RU,Official registries / tax data,State / official,Website,,yes,4,4,4,3,5,3,1,3.4,Company registries (EGRUL) and tax data; valuable for corporate due diligence.
Eurasia,Russia,Economic,bne IntelliNews,https://www.intellinews.com,EN,Emerging-markets business news,Independent (external),Website,,no,4,4,4,4,4,4,4,4.0,Business New Europe; sustained coverage of the Russian macro and corporate scene.
Eurasia,Russia,Economic,BOFIT (Bank of Finland),https://www.bofit.fi/en/,EN,Emerging-economies research,Independent (external),Website,,yes,5,4,3,5,5,5,5,4.6,Bank of Finland Institute; independent forecasts and data on the Russian economy.
Eurasia,Russia,Economic,CMASF,https://www.forecast.ru,RU,Macro forecasting,Independent,Website,,no,4,4,3,4,4,3,4,3.7,Center for Macroeconomic Analysis and Short-term Forecasting; respected independent modeling.
Eurasia,Russia,Economic,Gaidar Institute,https://www.iep.ru,RU/EN,Economic think tank,Independent,Website,,no,4,3,3,4,4,4,4,3.7,Long-standing market-reform economics institute; monthly monitoring and analysis.
Eurasia,Russia,Economic,HSE (Higher School of Economics),https://www.hse.ru,RU/EN,University research,Academic,Website,,no,4,3,3,3,4,4,4,3.6,"Major research university; economic and social studies, despite academic-freedom pressure."
Eurasia,Russia,Economic,Ministry of Economic Development,https://www.economy.gov.ru,RU,Official (forecasts),State / official,Website,,yes,3,3,3,2,3,3,2,2.7,Official macro forecasts and sectoral programs.
Eurasia,Russia,Political,Memorial,https://memohrc.org,RU/EN,Human-rights monitor,Independent,Website,,yes,5,5,3,5,5,4,3,4.3,Nobel-laureate rights group; the reference list of Russian political prisoners.
Eurasia,Russia,Political,Golos,https://www.golosinfo.org,RU/EN,Election monitoring,Independent,Website,,yes,5,5,4,5,5,4,3,4.4,Independent election watchdog (wound down 2025); violations maps and reports archive.
Eurasia,Russia,Political,SOVA Center,https://www.sova-center.ru,RU/EN,Extremism / hate-crime monitor,Independent,Website,,yes,5,5,3,5,5,4,4,4.4,"Authoritative tracking of hate crime, nationalism, and misuse of anti-extremism law."
Eurasia,Russia,Political,Roskomsvoboda,https://roskomsvoboda.org,RU,Digital-rights / censorship monitor,Independent,Website,,yes,4,5,4,5,4,4,3,4.1,Tracks website blocking and internet-censorship cases; digital-rights defense.
Eurasia,Russia,Political,First Department (Pervyi Otdel),https://firstdepartment.org,RU/EN,Treason/espionage legal defense,Independent (exile),Website,,no,4,5,3,4,4,4,3,3.9,Lawyers documenting the surge in treason/espionage prosecutions.
Eurasia,Russia,Political,R.Politik,https://www.rpolitik.com,EN/RU,Political-risk analysis,Independent,Website,,no,5,4,3,5,4,3,5,4.1,Tatiana Stanovaya's firm; granular reads on elite conflict and decision-making.
Eurasia,Russia,Political,RIAC,https://russiancouncil.ru,RU/EN,Foreign-policy think tank,State-aligned,Website,,no,3,3,3,3,3,4,4,3.3,MFA-founded council; a window on mainstream Russian foreign-policy thinking.
Eurasia,Russia,Political,Valdai Discussion Club,https://valdaiclub.com,RU/EN,Foreign-policy forum,State-aligned,Website,,no,3,3,3,3,3,4,3,3.1,Kremlin-adjacent forum; useful for the official strategic narrative and elite signaling.
Eurasia,Russia,Political,Russia in Global Affairs,https://eng.globalaffairs.ru,RU/EN,Foreign-policy journal,State-aligned,Website,,no,3,4,3,4,3,4,5,3.7,Lukyanov's journal; sophisticated establishment-aligned IR analysis.
Eurasia,Russia,Political,PONARS Eurasia,https://www.ponarseurasia.org,EN,Academic policy network,Independent (external),Website,,no,5,4,3,5,4,5,5,4.4,Network of scholars; concise policy memos grounded in field research.
Eurasia,Russia,Political,Kennan Institute (Wilson Center),https://www.wilsoncenter.org/program/kennan-institute,EN,Russia think tank,Independent (external),Website,,no,5,3,3,5,4,5,5,4.3,The Russia File and Kennan Cable; academic-quality analysis of Russian affairs.
Eurasia,Russia,Political,State Duma,http://duma.gov.ru,RU,Legislature (official),State / official,Website,,yes,3,3,4,3,4,3,1,3.0,"Official record of bills, votes, and deputies — the primary legislative source."
Eurasia,Russia,Political,Federation Council,http://council.gov.ru,RU,Upper house (official),State / official,Website,,no,3,3,4,3,4,3,1,3.0,Official record of the upper chamber.
Eurasia,Russia,Political,Kremlin (President of Russia),http://en.kremlin.ru,RU/EN,Presidential administration (official),State / official,Website,,no,3,3,4,2,4,4,1,3.0,"Transcripts of Putin's speeches, decrees, and meetings — primary official positions."
Eurasia,Russia,Political,Government of Russia,http://government.ru,RU/EN,Cabinet (official),State / official,Website,,no,3,3,4,2,4,4,1,3.0,"Official cabinet decisions, decrees, and programs."
Eurasia,Russia,Political,Official Legal Information Portal,http://pravo.gov.ru,RU,Official legislation texts,State / official,Website,,yes,5,3,4,3,5,3,1,3.4,Authoritative full texts of laws and decrees as published.
Eurasia,Russia,Political,Central Election Commission (CIK),http://www.cikrf.ru,RU,Official election results,State / official,Website,,yes,3,3,4,2,4,3,1,2.9,"Official election returns and turnout — primary data, read against Golos monitoring."
Eurasia,Russia,Political,Ministry of Foreign Affairs (MID),https://mid.ru,RU/EN,Official (MFA),State / official,Website,,no,3,3,4,2,3,4,1,2.9,"Official statements, briefings, and positions of the Russian government."
Eurasia,Russia,General,TASS,https://tass.com,RU/EN,State news agency,State media,Website,,no,3,3,5,2,3,5,1,3.1,State wire; comprehensive official-line coverage. Read as the government's framing.
Eurasia,Russia,General,RIA Novosti,https://ria.ru,RU,State news agency,State media,Website,,no,2,3,5,2,2,4,1,2.7,"State agency; high volume, strong propaganda framing."
Eurasia,Russia,General,RT,https://www.rt.com,EN/RU,State international broadcaster,State media,Website,,no,2,3,5,2,2,5,2,3.0,State foreign-facing broadcaster; a primary vehicle of Russian messaging abroad.
Eurasia,Russia,General,Rossiyskaya Gazeta,https://rg.ru,RU,Government daily (record of laws),State / official,Website,,no,4,3,4,3,4,4,1,3.3,Government's official newspaper; the paper of record for published legislation.
Eurasia,Russia,General,Izvestia,https://iz.ru,RU,Pro-Kremlin daily,State media,Website,,no,3,3,5,2,3,4,2,3.1,Establishment pro-Kremlin daily; useful for elite-approved messaging.
Eurasia,Russia,General,Gazeta.ru,https://www.gazeta.ru,RU,News portal,Establishment,Website,,no,3,3,5,3,3,4,2,3.3,High-traffic news portal; broadly establishment-aligned.
Eurasia,Russia,General,Lenta.ru,https://lenta.ru,RU,News portal,State media,Website,,no,2,3,5,2,2,4,1,2.7,"Mass-market portal, pro-Kremlin since the 2014 editorial purge."
Eurasia,Russia,Societal,VTsIOM,https://wciom.ru,RU/EN,State pollster,State-aligned,Website,,yes,3,4,4,3,4,4,2,3.4,"State-run pollster; large sample series, but framing and wartime context shape results."
Eurasia,Russia,Societal,FOM (Public Opinion Foundation),https://fom.ru,RU,Kremlin-linked pollster,State-aligned,Website,,yes,3,4,4,3,4,4,2,3.4,Kremlin-commissioned weekly polling ('inFOM'); tracks mood the administration watches.
Eurasia,Russia,Societal,To Be Precise (tochno.st),https://tochno.st,RU,Social-data project,Independent,Website,,yes,5,5,3,5,5,4,3,4.3,"Cleans and publishes datasets on social problems — HIV, courts, homelessness, inequality."
Eurasia,Russia,Societal,Takie Dela,https://takiedela.ru,RU,Social-issues journalism,Independent,Website,,no,4,4,3,4,4,4,3,3.7,"Nuzhna Pomoshch's outlet on social problems, charity, and vulnerable communities."
Eurasia,Russia,Societal,Kedr.media,https://kedr.media,RU,Environmental media,Independent (exile),Website,,no,4,5,3,4,4,4,3,3.9,"Environment-focused reporting — fires, waste, protected areas; foreign-agent listed."
Eurasia,Russia,Societal,T-invariant,https://t-invariant.org,RU/EN,Science / academia community,Independent (exile),Website,,no,4,5,3,4,4,4,4,4.0,"Platform by exiled scientists on Russian academia, brain drain, and science policy."
Eurasia,Russia,Societal,Bellona,https://bellona.org,EN/RU,Environment / nuclear watchdog,Independent (external),Website,,no,4,4,3,5,4,4,4,4.0,Norwegian watchdog with deep files on Russian nuclear and environmental issues.
Eurasia,Russia,Societal,Agency for Social Information (ASI),https://www.asi.org.ru,RU,NGO-sector news,Independent,Website,,no,4,4,3,4,4,3,3,3.6,News service on Russia's non-profit and civil-society sector.
Eurasia,Russia,General,Provereno (Meduza),https://provereno.media,RU,Fact-checking,Independent (exile),Website,,no,5,4,4,5,5,4,3,4.3,Meduza's fact-checking desk; debunks viral claims in Russian.
Eurasia,Russia,General,EUvsDisinfo,https://euvsdisinfo.eu,EN,Disinformation database,Independent (external),Website,,yes,4,4,4,5,4,5,3,4.1,EEAS East StratCom database of pro-Kremlin disinformation cases.
Eurasia,Russia,General,Bellingcat,https://www.bellingcat.com,EN,Investigative OSINT,Independent (external),Website,,no,5,5,3,5,5,5,4,4.6,Open-source investigations; landmark work identifying GRU/FSB operations.
Eurasia,Russia,General,OCCRP,https://www.occrp.org,EN,Investigative consortium,Independent (external),Website,,no,5,4,3,5,5,5,4,4.4,Cross-border investigations into corruption and organized crime touching Russia.
Eurasia,Ukraine,General,Kyiv Independent,https://kyivindependent.com,EN,Independent news outlet,Independent,Website,,no,5,4,5,5,4,5,3,4.4,"English-language flagship founded by ex-Kyiv Post staff; reader-funded, war and politics."
Eurasia,Ukraine,General,Ukrainska Pravda,https://www.pravda.com.ua,UK/RU/EN,Independent news / politics,Independent,Website,,no,5,4,5,4,4,4,3,4.1,Leading Ukrainian news site since 2000; breaking politics and its 'European Pravda' arm.
Eurasia,Ukraine,General,Suspilne,https://suspilne.media,UK,Public broadcaster,Public broadcaster,Website,,no,4,3,5,4,4,4,3,3.9,"Ukraine's public broadcaster; broad, comparatively balanced national and regional coverage."
Eurasia,Ukraine,General,NV (New Voice),https://nv.ua,UK/EN,Independent news / magazine,Independent,Website,,no,4,3,5,4,4,4,3,3.9,"News site and magazine with an English edition; politics, business, opinion."
Eurasia,Ukraine,General,Hromadske,https://hromadske.ua,UK,Independent media,Independent,Website,,no,4,3,4,4,4,4,3,3.7,Public-interest outlet born of the Maidan; reporting and fact-checking.
Eurasia,Ukraine,General,Dzerkalo Tyzhnia (ZN.ua),https://zn.ua,UK/RU,Analytical weekly,Independent,Website,,no,4,4,3,4,4,4,4,3.9,"Long-form analytical weekly on politics, economy, and security."
Eurasia,Ukraine,General,LB.ua,https://lb.ua,UK/RU,News / politics,Independent,Website,,no,4,3,4,4,3,4,3,3.6,Politics-focused news site with insider reporting.
Eurasia,Ukraine,General,Babel,https://babel.ua,UK/EN,Independent news,Independent,Website,,no,4,3,4,4,4,4,3,3.7,"Newer independent outlet; clean reporting and explainers, English edition."
Eurasia,Ukraine,General,Zaborona,https://zaborona.com,UK/EN,Investigative / social,Independent,Website,,no,4,4,3,4,4,4,4,3.9,"Investigations and features on rights, memory, and social issues."
Eurasia,Ukraine,General,Ukrainer,https://ukrainer.net,UK/EN,Documentary / regional,Independent,Website,,no,4,4,3,4,4,4,3,3.7,Multimedia documentary project mapping Ukraine's regions and communities.
Eurasia,Ukraine,General,Ukrinform,https://www.ukrinform.net,UK/EN,State news agency,State / official,Website,,no,4,3,5,3,4,4,1,3.4,"Official state news agency; multilingual wire, useful for the government's line."
Eurasia,Ukraine,General,Detector Media,https://detector.media,UK/EN,Media / disinformation watchdog,Independent,Website,,no,5,4,4,5,4,4,4,4.3,Media-analysis NGO tracking disinformation and press-freedom in Ukraine.
Eurasia,Ukraine,Security,Bihus.Info,https://bihus.info,UK,Anti-corruption investigations,Independent,Website,,no,5,5,3,4,5,4,4,4.3,Video-led investigations into corruption in defense procurement and officialdom.
Eurasia,Ukraine,Security,Slidstvo.Info,https://www.slidstvo.info,UK/EN,Investigative,Independent,Website,,no,5,5,3,4,5,4,4,4.3,Investigative agency; frequent cross-border and war-crimes reporting.
Eurasia,Ukraine,Security,Schemes (RFE/RL),https://www.radiosvoboda.org/schemes,UK,Investigative (RFE/RL),Independent (external),Website,,no,5,5,3,5,5,4,4,4.4,RFE/RL Ukraine's investigative unit exposing high-level corruption.
